user_id,laptop_id,rating
U001,96,3
U001,138,3
U001,43,5
U001,139,4
U001,1,2
U001,102,4
U001,4,2
U001,109,4
U001,112,5
U001,84,5
U001,56,5
U001,79,5
U001,86,5
U001,107,4
U001,14,5
U001,20,5
U001,88,4
U001,113,5
U001,40,3
U001,93,5
U001,66,2
U002,64,5
U002,49,1
U002,42,4
U002,118,2
U002,137,4
U002,115,3
U002,61,5
U002,22,3
U002,116,3
U002,51,2
U002,113,3
U002,3,5
U002,19,1
U002,75,3
U002,138,5
U002,74,1
U003,121,4
U003,107,3
U003,73,3
U003,129,5
U003,117,3
U003,80,4
U003,135,4
U003,11,5
U003,33,5
U003,125,5
U003,84,1
U003,15,3
U003,93,5
U003,48,4
U003,60,4
U003,47,2
U003,102,5
U003,51,2
U003,98,5
U003,69,5
U003,6,5
U003,76,3
U004,126,2
U004,54,4
U004,109,5
U004,100,2
U004,34,3
U004,146,4
U004,4,2
U004,132,4
U004,55,5
U004,91,3
U004,48,3
U004,31,3
U004,47,5
U004,1,2
U004,62,4
U004,30,4
U004,46,4
U004,29,4
U004,37,3
U004,13,5
U005,133,4
U005,32,4
U005,140,5
U005,31,2
U005,10,3
U005,107,5
U005,88,4
U005,109,5
U005,112,5
U005,43,3
U005,24,4
U005,102,4
U005,74,5
U005,18,3
U005,120,3
U005,7,2
U006,123,4
U006,143,4
U006,60,5
U006,71,3
U006,22,4
U006,100,2
U006,67,3
U006,73,5
U006,34,2
U006,57,5
U006,5,3
U006,42,4
U006,81,5
U006,105,3
U006,7,2
U007,43,2
U007,31,5
U007,116,2
U007,107,3
U007,60,3
U007,105,3
U007,135,3
U007,25,2
U007,127,5
U007,148,2
U007,137,4
U007,80,4
U007,136,3
U007,119,3
U007,72,5
U007,2,5
U007,70,5
U007,67,4
U007,73,4
U007,10,5
U007,91,4
U007,65,5
U007,74,2
U007,132,5
U007,71,5
U008,30,5
U008,20,5
U008,147,5
U008,123,4
U008,67,2
U008,71,3
U008,26,5
U008,39,4
U008,124,3
U008,97,1
U008,132,4
U008,61,3
U008,74,3
U008,40,2
U008,52,4
U008,78,4
U008,81,5
U008,99,4
U009,35,5
U009,14,1
U009,135,3
U009,103,2
U009,87,3
U009,73,2
U009,112,3
U009,107,2
U009,92,5
U009,129,5
U009,31,5
U009,110,2
U009,60,2
U009,119,3
U009,23,3
U009,125,5
U009,53,3
U009,7,5
U009,144,3
U009,79,3
U009,63,5
U009,145,3
U009,72,5
U009,126,4
U009,149,4
U010,104,1
U010,46,3
U010,142,3
U010,44,3
U010,136,3
U010,62,4
U010,145,3
U010,117,3
U010,94,4
U010,133,3
U010,60,3
U010,93,5
U010,110,3
U010,99,5
U010,56,3
U010,97,5
U010,7,5
U010,8,3
U010,37,5
U010,53,1
U010,2,5
U010,28,3
U010,45,3
U011,149,5
U011,139,4
U011,72,5
U011,141,5
U011,146,4
U011,75,3
U011,20,5
U011,14,5
U011,88,4
U011,12,5
U011,114,5
U011,103,4
U011,24,5
U011,76,4
U011,132,5
U011,117,5
U011,125,4
U011,37,2
U012,27,4
U012,128,3
U012,130,3
U012,117,5
U012,86,4
U012,143,5
U012,31,4
U012,120,5
U012,55,4
U012,98,3
U012,102,5
U012,92,4
U012,83,5
U012,63,5
U012,20,5
U013,87,2
U013,52,3
U013,34,5
U013,114,2
U013,117,4
U013,51,1
U013,66,5
U013,143,4
U013,69,5
U013,136,3
U013,78,5
U013,39,5
U013,82,3
U013,68,5
U013,83,3
U013,24,2
U013,30,3
U013,14,2
U013,138,5
U013,55,2
U013,26,3
U014,113,5
U014,14,4
U014,114,5
U014,107,5
